Estacao;Estacao2;Data da coleta;Dif;DATA DA IMAGEM;CSS;B1;B2;B3;B4;B5;B(4+3)/(2+1);B3/B1;B2/B1;B3/B2;B4/B3;B3/(B2+B1);(B3+B2-B1)/(B3+B2+B1)
Araguaiana;1;18/06/1994;-6;12/06/1994;26.35;0.091464;0.083625;0.074306;0.045477;0.014756;0.6841;0.8124;0.9143;0.8886;0.6120;0.4244;0.266512961
Araguaiana;1;30/06/1997;6;06/07/1997;73.32;0.097681;0.094684;0.087045;0.044917;0.013032;0.6860;0.8911;0.9693;0.9193;0.5160;0.4525;0.300805268
Araguaiana;1;29/06/1998;-6;23/06/1998;31.19;0.100852;0.094889;0.075356;0.043143;0.014191;0.6054;0.7472;0.9409;0.7941;0.5725;0.3850;0.25597111
Araguaiana;1;05/10/2004;1;06/10/2004;20.7;0.102493;0.097574;0.083444;0.04749;0.016221;0.6545;0.8141;0.9520;0.8552;0.5691;0.4171;0.27697338
Araguaiana;1;02/05/2008;-1;01/05/2008;179.91;0.095511;0.100912;0.112252;0.0649;0.008164;0.9019;1.1753;1.0565;1.1124;0.5782;0.5715;0.381154936
Araguaiana;1;03/07/2008;1;04/07/2008;24.18;0.095255;0.088347;0.070693;0.057656;0.024373;0.6991;0.7421;0.9275;0.8002;0.8156;0.3850;0.250830728
Araguaiana;1;28/09/2008;-6;22/09/2008;20.71;0.110365;0.106389;0.099449;0.082137;0.058716;0.8378;0.9011;0.9640;0.9348;0.8259;0.4588;0.301935782
Araguaiana;1;14/08/2009;-6;08/08/2009;11.66;0.088961;0.079024;0.061133;0.045234;0.021614;0.6332;0.6872;0.8883;0.7736;0.7399;0.3639;0.22344818
Araguaiana;1;01/06/2010;7;08/06/2010;15.32;0.089342;0.081724;0.064757;0.041642;0.013744;0.6220;0.7248;0.9147;0.7924;0.6431;0.3785;0.242296129
Araguaiana;1;08/09/2011;7;15/09/2011;13.61;0.12222217;0.11165705;0.101462796;0.089163139;0.051690541;0.8151;0.8302;0.9136;0.9087;0.8788;0.4338;0.271059609
Arauanã;1;04/08/1992;-2;02/08/1992;35.48;0.112478;0.110372;0.10246;0.071726;0.0209;0.7816;0.9109;0.9813;0.9283;0.7000;0.4598;0.308487289
Arauanã;1;30/01/2001;1;31/01/2001;157.49;0.103275;0.109357;0.13152;0.084239;0.009841;1.0147;1.2735;1.0589;1.2027;0.6405;0.6185;0.399829145
Arauanã;1;02/02/2002;1;03/02/2002;194.29;0.134957;0.140527;0.15844;0.114332;0.025341;0.9902;1.1740;1.0413;1.1275;0.7216;0.5751;0.377969414
Arauanã;1;01/09/2003;1;02/09/2003;21.7;0.112966;0.097906;0.071526;0.050163;0.01064;0.5771;0.6332;0.8667;0.7306;0.7013;0.3392;0.199951841
Arauanã;1;14/07/2004;4;18/07/2004;44.5;0.101331;0.095801;0.082592;0.043676;0.012036;0.6405;0.8151;0.9454;0.8621;0.5288;0.4190;0.275492986
Arauanã;1;06/07/2007;5;11/07/2007;22.53;0.095429;0.088702;0.07281;0.039681;0.015676;0.6109;0.7630;0.9295;0.8208;0.5450;0.3954;0.25719134
Arauanã;1;22/07/2007;5;27/07/2007;56.3;0.101946;0.093899;0.079701;0.051111;0.027259;0.6679;0.7818;0.9211;0.8488;0.6413;0.4070;0.260043695
Arauanã;1;11/09/2008;4;15/09/2008;26.49;0.114388;0.107253;0.094417;0.069568;0.022893;0.7399;0.8254;0.9376;0.8803;0.7368;0.4260;0.276158173
Arauanã;1;03/12/2008;1;04/12/2008;179.03;0.124093;0.14068;0.16358;0.103991;0.01301;1.0106;1.3182;1.1337;1.1628;0.6357;0.6178;0.420604035
Arauanã;1;11/04/2011;6;17/04/2011;187.6;0.093926;0.099043;0.112976;0.065258;0.007586;0.9236;1.2028;1.0545;1.1407;0.5776;0.5855;0.385994215
